"Name","Extension","SizeMB","Category","FullName","LastWriteTime"
"Левин М. - Учебное пособие по астрологии. - 2001.pdf",".pdf","24,59","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин М. - Учебное пособие по астрологии. - 2001.pdf","09.01.2025 18:30:24"
"Левин М.,  Митяева Т., Тищенко В. -  Символические дирекции. - 1998.pdf",".pdf","8,83","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Левин М.,  Митяева Т., Тищенко В. -  Символические дирекции. - 1998.pdf","09.01.2025 18:30:16"
"Левин М.,Митяева Т. – Символические дирекции – задачи,ответы,решения. – 1999.pdf",".pdf","2,94","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Левин М.,Митяева Т. – Символические дирекции – задачи,ответы,решения. – 1999.pdf","09.01.2025 18:29:09"
"Левин М.. Митяева Т. -  Методические6 пособия по астрологии   I курс Часть III – 1992.pdf",".pdf","53,65","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин М.. Митяева Т. -  Методические6 пособия по астрологии   I курс Часть III – 1992.pdf","09.01.2025 18:30:20"
"Мазова Е. - 12 способов поймать удачу. Выбери себе судьбу.( Ваш личный астролог)  – 2006 .pdf",".pdf","18,98","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - 12 способов поймать удачу. Выбери себе судьбу.( Ваш личный астролог)  – 2006 .pdf","09.01.2025 18:26:04"
"Мазова Е. - Адрес вашего Ангела-Хранителя. Пособие по общению.( Ваш личный астролог) – 2007 .pdf",".pdf","10,19","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - Адрес вашего Ангела-Хранителя. Пособие по общению.( Ваш личный астролог) – 2007 .pdf","09.01.2025 18:25:58"
"Мазова Е. - Гороскоп удачи. Практическая астрология на каждый день.( Гороскоп хорошего настроения). – 2011 .pdf",".pdf","15,89","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - Гороскоп удачи. Практическая астрология на каждый день.( Гороскоп хорошего настроения). – 2011 .pdf","09.01.2025 18:26:03"
"Мазова Е. - День недели и ваша судьба. (Практическая эзотерика) -  2001 .pdf",".pdf","6,69","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - День недели и ваша судьба. (Практическая эзотерика) -  2001 .pdf","09.01.2025 18:26:04"
"Мазова Е. - Домовой. Хранитель домашнего очага. Пособие по общению (Ваш личный астролог). —  2006.pdf",".pdf","9,9","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - Домовой. Хранитель домашнего очага. Пособие по общению (Ваш личный астролог). —  2006.pdf","09.01.2025 18:26:05"
"Мазова Е. - Животные-талисманы для раскрытия талантов. Если вы не похожи на свой знак зодиака. (Ваш личный астролог ) – 2006 .pdf",".pdf","15,97","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Мазова Е. - Животные-талисманы для раскрытия талантов. Если вы не похожи на свой знак зодиака. (Ваш личный астролог ) – 2006 .pdf","09.01.2025 18:25:55"
"Мазова Е. - Звездные рецепты здоровья.Астрологическое целительство.( Новые методики)  – 2005.pdf",".pdf","16,48","06-medical-special-topics","G:\Codex Goroskop\sources\books\library\06-medical-special-topics\Мазова Е. - Звездные рецепты здоровья.Астрологическое целительство.( Новые методики)  – 2005.pdf","09.01.2025 18:26:00"
